# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-F" "GTF" "-O" "-p" "-T" "6" "-a" "genomic.gtf" "-s" "2" "-o" "dimA_2_light_T1.featureCounts.txt" "dimA_2_light_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	dimA_2_light_T1.bam
gene-PA14_32650	CP000438.1	2835508	2836152	-	645	12
gene-PA14_32660	CP000438.1	2836165	2837511	-	1347	13
gene-PA14_32670	CP000438.1	2837589	2838287	-	699	130
gene-PA14_32690	CP000438.1	2838300	2839361	-	1062	83
gene-PA14_32700	CP000438.1	2839486	2840400	+	915	257
gene-PA14_32710	CP000438.1	2840489	2841007	+	519	180
gene-PA14_32720	CP000438.1	2841016	2842002	+	987	103
gene-PA14_32740	CP000438.1	2842146	2844608	+	2463	92
gene-PA14_32750	CP000438.1	2844726	2845874	+	1149	22
gene-PA14_32770	CP000438.1	2845921	2846445	+	525	952
gene-PA14_32780	CP000438.1	2846758	2848455	+	1698	1539
gene-PA14_32790	CP000438.1	2848568	2864206	+	15639	7487
gene-PA14_32810	CP000438.1	2865179	2865490	+	312	225
gene-PA14_32820	CP000438.1	2868300	2868887	+	588	290
gene-PA14_32830	CP000438.1	2870581	2873250	-	2670	1437
gene-PA14_32840	CP000438.1	2873265	2874218	-	954	1066
gene-PA14_32850	CP000438.1	2874987	2876003	-	1017	573
gene-PA14_32860	CP000438.1	2876533	2877069	-	537	431
gene-PA14_32880	CP000438.1	2877066	2877917	-	852	244
gene-PA14_32890	CP000438.1	2877971	2878192	-	222	539
gene-PA14_32905	CP000438.1	2878349	2879929	+	1581	126
gene-PA14_32930	CP000438.1	2880132	2881049	+	918	300
gene-PA14_32940	CP000438.1	2881131	2882666	+	1536	812
gene-PA14_32950	CP000438.1	2882674	2884416	-	1743	1805
gene-PA14_32970	CP000438.1	2884539	2885462	+	924	327
gene-PA14_32985	CP000438.1	2885721	2886104	+	384	8057
gene-PA14_33000	CP000438.1	2886115	2888994	+	2880	39467
gene-PA14_33010	CP000438.1	2889137	2890393	+	1257	9821
gene-PA14_33030	CP000438.1	2890441	2891817	+	1377	8693
gene-PA14_33040	CP000438.1	2891911	2893032	+	1122	9861
gene-PA14_33050	CP000438.1	2893079	2893954	-	876	579
gene-PA14_33060	CP000438.1	2893951	2894922	-	972	721
gene-PA14_33070	CP000438.1	2895611	2897611	+	2001	602
gene-PA14_33080	CP000438.1	2897623	2898636	+	1014	377
gene-PA14_33110	CP000438.1	2898633	2899673	+	1041	371
gene-PA14_33120	CP000438.1	2899827	2900261	+	435	802
gene-PA14_33130	CP000438.1	2900290	2902275	+	1986	1513
gene-PA14_33150	CP000438.1	2902272	2902817	+	546	477
gene-PA14_33160	CP000438.1	2902952	2903221	-	270	1644
gene-PA14_33170	CP000438.1	2903336	2904250	-	915	242
gene-PA14_33190	CP000438.1	2904651	2906825	+	2175	423
gene-PA14_33200	CP000438.1	2906815	2907024	+	210	75
gene-PA14_33220	CP000438.1	2907021	2908025	+	1005	351
gene-PA14_33230	CP000438.1	2908062	2908307	-	246	26
gene-PA14_33240	CP000438.1	2908569	2909483	+	915	100
gene-PA14_33250	CP000438.1	2909570	2910037	+	468	28
gene-PA14_33260	CP000438.1	2910054	2910617	-	564	55
gene-PA14_33270	CP000438.1	2911261	2912025	+	765	16
gene-PA14_33280	CP000438.1	2912099	2925127	+	13029	262
gene-PA14_33290	CP000438.1	2925613	2926368	-	756	1647
gene-PA14_33300	CP000438.1	2927517	2928020	-	504	10716
gene-PA14_33310	CP000438.1	2928084	2929112	-	1029	14388
gene-PA14_33320	CP000438.1	2929123	2930106	-	984	13355
gene-PA14_33330	CP000438.1	2930093	2931397	-	1305	12175
gene-PA14_33340	CP000438.1	2931455	2934685	-	3231	6142
gene-PA14_33350	CP000438.1	2934682	2935656	-	975	3092
gene-PA14_33360	CP000438.1	2935897	2937291	+	1395	15
gene-PA14_33370	CP000438.1	2937476	2937790	-	315	31
gene-PA14_33380	CP000438.1	2938495	2939415	-	921	7
gene-PA14_33410	CP000438.1	2939449	2940867	-	1419	36
gene-PA14_33420	CP000438.1	2940949	2941629	-	681	140
gene-PA14_33430	CP000438.1	2941727	2942587	-	861	89
gene-PA14_33440	CP000438.1	2942688	2943626	+	939	932
gene-PA14_33450	CP000438.1	2943630	2945267	-	1638	411
gene-PA14_33460	CP000438.1	2945626	2946051	+	426	283
gene-PA14_33480	CP000438.1	2946044	2947363	+	1320	1175
gene-PA14_33500	CP000438.1	2947542	2948951	+	1410	245
gene-PA14_33510	CP000438.1	2949029	2949247	+	219	41
gene-PA14_33520	CP000438.1	2949248	2950012	+	765	131
gene-PA14_33530	CP000438.1	2950112	2951029	-	918	306
gene-PA14_33540	CP000438.1	2951026	2951931	-	906	161
gene-PA14_33550	CP000438.1	2951928	2952683	-	756	208
gene-PA14_33560	CP000438.1	2952680	2953633	-	954	201
gene-PA14_33570	CP000438.1	2953666	2954226	-	561	88
gene-PA14_33580	CP000438.1	2954223	2954552	-	330	135
gene-PA14_33590	CP000438.1	2954549	2955088	-	540	171
gene-PA14_33600	CP000438.1	2955085	2956296	-	1212	253
gene-PA14_33610	CP000438.1	2956615	2972064	+	15450	1137
gene-PA14_33630	CP000438.1	2972068	2978637	+	6570	1130
gene-PA14_33650	CP000438.1	2978649	2985995	+	7347	1262
gene-PA14_33680	CP000438.1	2986159	2988606	-	2448	521
gene-PA14_33690	CP000438.1	2988709	2990358	-	1650	53
gene-PA14_33700	CP000438.1	2990736	2991563	+	828	430
gene-PA14_33710	CP000438.1	2991632	2992486	-	855	49
gene-PA14_33720	CP000438.1	2992515	2993798	-	1284	39
gene-PA14_33730	CP000438.1	2993821	2995167	-	1347	44
gene-PA14_33740	CP000438.1	2995383	2997017	+	1635	171
gene-PA14_33750	CP000438.1	2997066	2998490	-	1425	125
gene-PA14_33760	CP000438.1	2998496	3000487	-	1992	250
gene-PA14_33770	CP000438.1	3000487	3001662	-	1176	225
gene-PA14_33780	CP000438.1	3001763	3002758	-	996	1244
gene-PA14_33800	CP000438.1	3002922	3003401	+	480	358
gene-PA14_33810	CP000438.1	3003534	3004865	+	1332	192
gene-PA14_33820	CP000438.1	3004988	3007276	+	2289	81
gene-PA14_33830	CP000438.1	3007457	3007780	+	324	51
gene-PA14_33840	CP000438.1	3007822	3008742	+	921	629
gene-PA14_33860	CP000438.1	3008839	3009990	+	1152	190
gene-PA14_33870	CP000438.1	3010057	3010299	-	243	10168
gene-PA14_33880	CP000438.1	3010594	3010830	+	237	387
gene-PA14_33890	CP000438.1	3011096	3011566	+	471	337
gene-PA14_33900	CP000438.1	3011563	3013878	+	2316	2513
gene-PA14_33910	CP000438.1	3014295	3015569	-	1275	38
gene-PA14_33920	CP000438.1	3015701	3016342	-	642	41
gene-PA14_33930	CP000438.1	3016619	3017014	+	396	895
gene-PA14_33940	CP000438.1	3017037	3017573	-	537	137
gene-PA14_33960	CP000438.1	3017584	3019590	-	2007	716
gene-PA14_33970	CP000438.1	3019627	3020694	-	1068	904
gene-PA14_33980	CP000438.1	3020733	3021266	-	534	410
gene-PA14_33990	CP000438.1	3021340	3023889	-	2550	853
gene-PA14_34000	CP000438.1	3023891	3024907	-	1017	372
gene-PA14_34010	CP000438.1	3024871	3026664	-	1794	824
gene-PA14_34020	CP000438.1	3026648	3027073	-	426	589
gene-PA14_34030	CP000438.1	3027086	3027583	-	498	992
gene-PA14_34050	CP000438.1	3027657	3029141	-	1485	2288
gene-PA14_34070	CP000438.1	3029164	3029709	-	546	1492
gene-PA14_34080	CP000438.1	3029917	3030393	+	477	960
gene-PA14_34100	CP000438.1	3030453	3031784	+	1332	3113
gene-PA14_34110	CP000438.1	3031802	3032560	+	759	488
gene-PA14_34130	CP000438.1	3032557	3036372	+	3816	1820
gene-PA14_34140	CP000438.1	3036369	3037469	+	1101	1157
gene-PA14_34150	CP000438.1	3037579	3038664	+	1086	270
gene-PA14_34170	CP000438.1	3038777	3039166	+	390	76
gene-PA14_34180	CP000438.1	3039326	3039886	+	561	13
gene-PA14_34190	CP000438.1	3039896	3041041	+	1146	31
gene-PA14_34200	CP000438.1	3041071	3042255	+	1185	82
gene-PA14_34210	CP000438.1	3042252	3043382	+	1131	45
gene-PA14_34230	CP000438.1	3043554	3044708	+	1155	810
gene-PA14_34250	CP000438.1	3044774	3045901	-	1128	449
gene-PA14_34260	CP000438.1	3046079	3046732	-	654	21
gene-PA14_34270	CP000438.1	3046716	3047825	-	1110	26
gene-PA14_34280	CP000438.1	3047822	3048616	-	795	15
gene-PA14_34290	CP000438.1	3048648	3050036	-	1389	15
gene-PA14_34300	CP000438.1	3050054	3051271	-	1218	24
gene-PA14_34320	CP000438.1	3051282	3052517	-	1236	23
gene-PA14_34330	CP000438.1	3052936	3054171	+	1236	8739
gene-PA14_34340	CP000438.1	3054202	3055134	-	933	92
gene-PA14_34350	CP000438.1	3055176	3056684	-	1509	35
gene-PA14_34360	CP000438.1	3056681	3058156	-	1476	103
gene-PA14_34370	CP000438.1	3058179	3059291	-	1113	78
gene-PA14_34390	CP000438.1	3059331	3060164	-	834	49
gene-PA14_34410	CP000438.1	3060175	3061107	-	933	49
gene-PA14_34420	CP000438.1	3061183	3062493	-	1311	233
gene-PA14_34440	CP000438.1	3062651	3063556	-	906	369
gene-PA14_34450	CP000438.1	3063779	3064684	-	906	469
gene-PA14_34460	CP000438.1	3064789	3065349	+	561	6268
gene-PA14_34490	CP000438.1	3065399	3066466	+	1068	7044
gene-PA14_34500	CP000438.1	3066463	3067299	+	837	3000
gene-PA14_34510	CP000438.1	3067265	3068464	+	1200	2867
gene-PA14_34520	CP000438.1	3068461	3069225	+	765	1749
gene-PA14_34540	CP000438.1	3069451	3070860	+	1410	641
gene-PA14_34550	CP000438.1	3070920	3072155	-	1236	52
gene-PA14_34580	CP000438.1	3072186	3073445	-	1260	71
gene-PA14_34600	CP000438.1	3073663	3075288	-	1626	14076
gene-PA14_34610	CP000438.1	3075453	3075596	-	144	12
gene-PA14_34630	CP000438.1	3075622	3076974	-	1353	81
gene-PA14_34640	CP000438.1	3077071	3077592	-	522	185
gene-PA14_34660	CP000438.1	3077787	3078818	+	1032	721
gene-PA14_34670	CP000438.1	3079172	3079537	-	366	349
gene-PA14_34680	CP000438.1	3079570	3080868	-	1299	306
gene-PA14_34690	CP000438.1	3080972	3081865	-	894	184
gene-PA14_34700	CP000438.1	3081983	3083158	+	1176	32
gene-PA14_34710	CP000438.1	3083158	3084411	+	1254	23
gene-PA14_34720	CP000438.1	3084472	3085272	-	801	19
gene-PA14_34730	CP000438.1	3085289	3085870	-	582	53
gene-PA14_34740	CP000438.1	3085925	3086083	-	159	25
gene-PA14_34750	CP000438.1	3086373	3087260	+	888	52
gene-PA14_34770	CP000438.1	3087301	3088323	+	1023	49
gene-PA14_34780	CP000438.1	3088331	3089179	+	849	30
gene-PA14_34790	CP000438.1	3089196	3090062	+	867	80
gene-PA14_34800	CP000438.1	3090172	3090789	+	618	2165
gene-PA14_34810	CP000438.1	3090885	3094634	+	3750	4266
gene-PA14_34820	CP000438.1	3094663	3095751	+	1089	1973
gene-PA14_34830	CP000438.1	3095748	3096767	+	1020	2222
gene-PA14_34840	CP000438.1	3096787	3103164	+	6378	15213
gene-PA14_34850	CP000438.1	3103232	3103774	+	543	1177
gene-PA14_34870	CP000438.1	3103993	3105444	+	1452	14169
gene-PA14_34880	CP000438.1	3105621	3106370	+	750	611
gene-PA14_34900	CP000438.1	3106367	3108091	+	1725	992
gene-PA14_34920	CP000438.1	3108177	3108422	+	246	114
gene-PA14_34930	CP000438.1	3108760	3109725	+	966	81
gene-PA14_34940	CP000438.1	3109722	3110003	+	282	16
gene-PA14_34960	CP000438.1	3110344	3111702	+	1359	4554
gene-PA14_34970	CP000438.1	3111856	3114267	+	2412	7042
gene-PA14_34990	CP000438.1	3114399	3116519	+	2121	1064
gene-PA14_35000	CP000438.1	3116640	3116927	+	288	452
gene-PA14_35010	CP000438.1	3116940	3117575	-	636	9
gene-PA14_35020	CP000438.1	3117562	3119106	-	1545	27
gene-PA14_35030	CP000438.1	3119107	3119769	-	663	35
gene-PA14_35040	CP000438.1	3119766	3120437	-	672	13
gene-PA14_35050	CP000438.1	3120434	3121891	-	1458	32
gene-PA14_35060	CP000438.1	3121898	3122326	-	429	60
gene-PA14_35070	CP000438.1	3122614	3123468	+	855	740
gene-PA14_35080	CP000438.1	3123481	3124173	-	693	336
gene-PA14_35100	CP000438.1	3124185	3124655	-	471	145
gene-PA14_35110	CP000438.1	3124687	3125970	-	1284	104
gene-PA14_35130	CP000438.1	3125984	3126334	-	351	110
gene-PA14_35140	CP000438.1	3126413	3127303	-	891	232
gene-PA14_35150	CP000438.1	3127512	3128573	+	1062	111
gene-PA14_35160	CP000438.1	3128598	3128975	-	378	1795
gene-PA14_35170	CP000438.1	3129053	3129523	+	471	382
gene-PA14_35190	CP000438.1	3129531	3131228	-	1698	699
gene-PA14_35200	CP000438.1	3131350	3131865	-	516	362
gene-PA14_35210	CP000438.1	3131873	3132463	-	591	430
gene-PA14_35230	CP000438.1	3132610	3133815	+	1206	201
gene-PA14_35240	CP000438.1	3133779	3134849	-	1071	83
gene-PA14_35250	CP000438.1	3134936	3135832	+	897	648
gene-PA14_35270	CP000438.1	3135932	3137251	-	1320	1156
gene-PA14_35290	CP000438.1	3137263	3139038	-	1776	1882
gene-PA14_35300	CP000438.1	3139041	3139757	-	717	990
gene-PA14_35320	CP000438.1	3139925	3140911	-	987	306
gene-PA14_35330	CP000438.1	3140930	3142237	-	1308	205
gene-PA14_35340	CP000438.1	3142300	3143250	-	951	173
gene-PA14_35360	CP000438.1	3143243	3144025	-	783	265
gene-PA14_35370	CP000438.1	3144097	3145119	-	1023	547
gene-PA14_35380	CP000438.1	3145681	3146619	+	939	86
gene-PA14_35390	CP000438.1	3146722	3147369	-	648	19
gene-PA14_35400	CP000438.1	3147362	3148864	-	1503	70
gene-PA14_35420	CP000438.1	3148916	3149791	-	876	82
gene-PA14_35430	CP000438.1	3149809	3150795	-	987	101
gene-PA14_35440	CP000438.1	3151011	3151997	-	987	1082
gene-PA14_35460	CP000438.1	3152097	3153542	-	1446	108
gene-PA14_35470	CP000438.1	3153711	3154529	+	819	306
gene-PA14_35490	CP000438.1	3154662	3156056	-	1395	21941
gene-PA14_35500	CP000438.1	3156060	3157346	-	1287	20613
gene-PA14_35520	CP000438.1	3157347	3158399	-	1053	17421
gene-PA14_35530	CP000438.1	3158396	3159628	-	1233	20050
gene-PA14_35540	CP000438.1	3159938	3160399	+	462	357
gene-PA14_35550	CP000438.1	3160432	3160737	-	306	148
gene-PA14_35570	CP000438.1	3160765	3161766	-	1002	811
gene-PA14_35590	CP000438.1	3161822	3163555	-	1734	35
gene-PA14_35600	CP000438.1	3163743	3164810	-	1068	388
gene-PA14_35620	CP000438.1	3164893	3166302	-	1410	120
gene-PA14_35630	CP000438.1	3166304	3167740	-	1437	274
gene-PA14_35640	CP000438.1	3167743	3168846	-	1104	170
gene-PA14_35650	CP000438.1	3168837	3170045	-	1209	275
gene-PA14_35670	CP000438.1	3170054	3171382	-	1329	387
gene-PA14_35680	CP000438.1	3171372	3172559	-	1188	179
gene-PA14_35690	CP000438.1	3172559	3174547	-	1989	364
gene-PA14_35700	CP000438.1	3174603	3175307	+	705	210
gene-PA14_35710	CP000438.1	3175803	3176147	-	345	627
gene-PA14_35720	CP000438.1	3176214	3176615	-	402	250
gene-PA14_35730	CP000438.1	3176984	3177358	-	375	79
gene-PA14_35740	CP000438.1	3177507	3180521	+	3015	3363
gene-PA14_35750	CP000438.1	3180518	3180880	+	363	824
gene-PA14_35760	CP000438.1	3181060	3181524	-	465	3602
gene-PA14_35770	CP000438.1	3181532	3182437	-	906	4922
gene-PA14_35780	CP000438.1	3182434	3183162	-	729	4376
gene-PA14_35790	CP000438.1	3183178	3184587	-	1410	17871
gene-PA14_35800	CP000438.1	3184999	3186315	-	1317	6491
gene-PA14_35810	CP000438.1	3186337	3187047	-	711	6424
gene-PA14_35820	CP000438.1	3187110	3188081	-	972	3747
gene-PA14_35830	CP000438.1	3188265	3189263	+	999	1786
gene-PA14_35840	CP000438.1	3189302	3189946	+	645	3194
gene-PA14_35850	CP000438.1	3189927	3190406	+	480	3809
gene-PA14_35860	CP000438.1	3190988	3192292	+	1305	207
gene-PA14_35880	CP000438.1	3192356	3193795	+	1440	431
gene-PA14_35890	CP000438.1	3193841	3195094	+	1254	284
gene-PA14_35900	CP000438.1	3195183	3196103	+	921	176
gene-PA14_35920	CP000438.1	3196396	3198054	-	1659	86
gene-PA14_35930	CP000438.1	3198051	3198149	-	99	22
gene-PA14_35940	CP000438.1	3198432	3200078	-	1647	52
gene-PA14_35950	CP000438.1	3200165	3200932	-	768	36
gene-PA14_35970	CP000438.1	3200932	3202104	-	1173	49
gene-PA14_35980	CP000438.1	3202155	3202511	-	357	11
gene-PA14_35990	CP000438.1	3202508	3203704	-	1197	14
gene-PA14_36000	CP000438.1	3204291	3205712	+	1422	1096
gene-PA14_36010	CP000438.1	3205778	3206281	-	504	415
gene-PA14_36020	CP000438.1	3206340	3208643	-	2304	560
gene-PA14_36030	CP000438.1	3208636	3209256	-	621	57
gene-PA14_36050	CP000438.1	3209914	3211497	-	1584	123
gene-PA14_36060	CP000438.1	3211626	3212621	-	996	106
gene-PA14_36070	CP000438.1	3212649	3213824	-	1176	101
gene-PA14_36080	CP000438.1	3213855	3215177	-	1323	6
gene-PA14_36090	CP000438.1	3215363	3216613	-	1251	26
gene-PA14_36100	CP000438.1	3216786	3217799	-	1014	137
gene-PA14_36110	CP000438.1	3217796	3218755	-	960	60
gene-PA14_36120	CP000438.1	3218748	3220073	-	1326	88
gene-PA14_36130	CP000438.1	3220256	3221353	+	1098	56
gene-PA14_36150	CP000438.1	3221381	3221911	+	531	14
gene-PA14_36170	CP000438.1	3221908	3223428	+	1521	30
gene-PA14_36180	CP000438.1	3223496	3224443	+	948	342
gene-PA14_36190	CP000438.1	3224525	3225001	+	477	84
gene-PA14_36200	CP000438.1	3225300	3226106	+	807	1564
gene-PA14_36220	CP000438.1	3226187	3226903	+	717	161
gene-PA14_36230	CP000438.1	3226905	3227582	+	678	121
gene-PA14_36250	CP000438.1	3227598	3228482	-	885	867
gene-PA14_36260	CP000438.1	3228608	3230203	-	1596	271
gene-PA14_36270	CP000438.1	3230292	3231167	-	876	962
gene-PA14_36280	CP000438.1	3231173	3231517	-	345	184
gene-PA14_36290	CP000438.1	3231514	3232551	-	1038	579
gene-PA14_36300	CP000438.1	3232682	3233266	-	585	1108
gene-PA14_36310	CP000438.1	3233419	3234672	-	1254	19180
gene-PA14_36320	CP000438.1	3234675	3236069	-	1395	29182
gene-PA14_36330	CP000438.1	3236066	3236380	-	315	8882
gene-PA14_36345	CP000438.1	3236744	3237988	+	1245	757
gene-PA14_36350	CP000438.1	3237985	3238539	-	555	66
gene-PA14_36360	CP000438.1	3238696	3239118	-	423	42
gene-PA14_36370	CP000438.1	3239146	3240360	-	1215	110
gene-PA14_36375	CP000438.1	3240498	3241922	+	1425	480
gene-PA14_36390	CP000438.1	3241906	3242856	+	951	383
gene-PA14_36400	CP000438.1	3242840	3243160	-	321	86
gene-PA14_36410	CP000438.1	3243223	3243831	+	609	84
gene-PA14_36420	CP000438.1	3243835	3245934	-	2100	1610
gene-PA14_36450	CP000438.1	3246017	3246607	+	591	880
gene-PA14_36460	CP000438.1	3246620	3246967	+	348	745
gene-PA14_36470	CP000438.1	3247252	3247560	+	309	610
gene-PA14_36480	CP000438.1	3247591	3247812	-	222	73
gene-PA14_36490	CP000438.1	3247868	3248218	-	351	200
gene-PA14_36500	CP000438.1	3248245	3249321	-	1077	612
gene-PA14_36520	CP000438.1	3249325	3249795	-	471	719
gene-PA14_36530	CP000438.1	3249997	3250449	-	453	257
gene-PA14_36540	CP000438.1	3250575	3251351	-	777	198
gene-PA14_36550	CP000438.1	3251348	3252445	-	1098	921
gene-PA14_36560	CP000438.1	3252774	3253139	-	366	2639
gene-PA14_36570	CP000438.1	3253507	3255048	+	1542	1549
gene-PA14_36580	CP000438.1	3255048	3256799	+	1752	1648
gene-PA14_36590	CP000438.1	3256792	3258846	+	2055	1369
gene-PA14_36605	CP000438.1	3258839	3261619	+	2781	1423
gene-PA14_36620	CP000438.1	3261616	3261921	+	306	138
gene-PA14_36630	CP000438.1	3261934	3264084	+	2151	1999
gene-PA14_36650	CP000438.1	3264184	3264600	+	417	473
gene-PA14_36660	CP000438.1	3264667	3265914	+	1248	558
gene-PA14_36670	CP000438.1	3265918	3266856	+	939	262
gene-PA14_36680	CP000438.1	3266853	3267590	+	738	89
gene-PA14_36690	CP000438.1	3267587	3268792	+	1206	146
gene-PA14_36700	CP000438.1	3268789	3269784	+	996	63
gene-PA14_36710	CP000438.1	3269786	3271984	-	2199	991
gene-PA14_36730	CP000438.1	3271981	3275283	-	3303	1965
gene-PA14_36740	CP000438.1	3275294	3277288	-	1995	1541
gene-PA14_36760	CP000438.1	3277432	3278313	-	882	280
gene-PA14_36770	CP000438.1	3278336	3278578	-	243	70
gene-PA14_36780	CP000438.1	3278592	3279083	-	492	327
gene-PA14_36790	CP000438.1	3279080	3279214	-	135	191
gene-PA14_36810	CP000438.1	3279311	3281440	-	2130	1881
gene-PA14_36820	CP000438.1	3281521	3281688	-	168	401
gene-PA14_36830	CP000438.1	3282187	3282585	+	399	88
gene-PA14_36840	CP000438.1	3282592	3285030	-	2439	2776
gene-PA14_36850	CP000438.1	3285083	3285370	-	288	500
gene-PA14_36860	CP000438.1	3285614	3285802	+	189	378
gene-PA14_36870	CP000438.1	3285822	3286682	-	861	277
gene-PA14_36880	CP000438.1	3286708	3287226	-	519	110
gene-PA14_36890	CP000438.1	3287237	3287476	-	240	51
gene-PA14_36900	CP000438.1	3287496	3287711	-	216	65
gene-PA14_36910	CP000438.1	3287787	3290309	-	2523	2863
gene-PA14_36920	CP000438.1	3290327	3290863	-	537	779
gene-PA14_36930	CP000438.1	3290965	3291489	+	525	36
gene-PA14_36940	CP000438.1	3291515	3291964	+	450	19
gene-PA14_36960	CP000438.1	3291942	3293306	-	1365	327
gene-PA14_36980	CP000438.1	3293335	3293907	-	573	410
gene-PA14_36990	CP000438.1	3294000	3294857	-	858	34
gene-PA14_37000	CP000438.1	3294854	3295567	-	714	8
gene-PA14_37010	CP000438.1	3295557	3296918	-	1362	9
gene-PA14_37030	CP000438.1	3296915	3299533	-	2619	19
gene-PA14_37040	CP000438.1	3299517	3300263	-	747	10
gene-PA14_37060	CP000438.1	3300351	3300902	-	552	76
gene-PA14_37070	CP000438.1	3301756	3302982	+	1227	2489
gene-PA14_37080	CP000438.1	3303409	3304044	+	636	704
gene-PA14_37090	CP000438.1	3304080	3305528	-	1449	66
gene-PA14_37100	CP000438.1	3305550	3307187	-	1638	66
gene-PA14_37120	CP000438.1	3307292	3308224	-	933	264
gene-PA14_37130	CP000438.1	3308261	3309397	-	1137	257
gene-PA14_37140	CP000438.1	3309523	3310428	+	906	272
gene-PA14_37150	CP000438.1	3310576	3311004	+	429	282
gene-PA14_37170	CP000438.1	3311021	3312133	+	1113	358
gene-PA14_37190	CP000438.1	3312668	3313744	-	1077	379
gene-PA14_37200	CP000438.1	3313936	3314919	+	984	519
gene-PA14_37210	CP000438.1	3314904	3315701	-	798	5182
gene-PA14_37220	CP000438.1	3315808	3316761	-	954	356
gene-PA14_37250	CP000438.1	3317016	3318287	+	1272	3699
gene-PA14_37260	CP000438.1	3318312	3319541	+	1230	1427
gene-PA14_37270	CP000438.1	3319574	3320317	+	744	1811
gene-PA14_37290	CP000438.1	3320314	3321027	+	714	1525
gene-PA14_37310	CP000438.1	3321024	3321965	+	942	1599
gene-PA14_37320	CP000438.1	3322033	3322509	+	477	507
gene-PA14_37340	CP000438.1	3322528	3324300	-	1773	255
gene-PA14_37350	CP000438.1	3324471	3324869	+	399	33
gene-PA14_37360	CP000438.1	3325268	3326026	-	759	75
gene-PA14_37370	CP000438.1	3326011	3326940	-	930	37
gene-PA14_37380	CP000438.1	3326951	3328426	-	1476	114
gene-PA14_37400	CP000438.1	3328573	3329607	+	1035	103
gene-PA14_37410	CP000438.1	3329756	3330601	+	846	192
gene-PA14_37420	CP000438.1	3330603	3331559	-	957	63
gene-PA14_37430	CP000438.1	3331556	3332065	-	510	43
gene-PA14_37440	CP000438.1	3332168	3333364	-	1197	127
gene-PA14_37460	CP000438.1	3333351	3334634	-	1284	97
gene-PA14_37470	CP000438.1	3334631	3335710	-	1080	55
gene-PA14_37490	CP000438.1	3335723	3338374	-	2652	188
gene-PA14_37510	CP000438.1	3338466	3339314	-	849	90
gene-PA14_37520	CP000438.1	3339298	3339954	-	657	64
gene-PA14_37530	CP000438.1	3339951	3340853	-	903	81
gene-PA14_37550	CP000438.1	3340864	3341373	-	510	65
gene-PA14_37560	CP000438.1	3341401	3343233	-	1833	196
gene-PA14_37570	CP000438.1	3343321	3344595	-	1275	782
gene-PA14_37580	CP000438.1	3344797	3345273	-	477	569
gene-PA14_37590	CP000438.1	3345406	3346047	+	642	1408
gene-PA14_37610	CP000438.1	3346051	3347301	+	1251	3951
gene-PA14_37630	CP000438.1	3347457	3348863	+	1407	786
gene-PA14_37640	CP000438.1	3349149	3351023	+	1875	55
gene-PA14_37650	CP000438.1	3351063	3352967	+	1905	94
gene-PA14_37660	CP000438.1	3353004	3353906	-	903	763
gene-PA14_37670	CP000438.1	3354363	3354629	+	267	218
gene-PA14_37680	CP000438.1	3354806	3356473	+	1668	1146
gene-PA14_37690	CP000438.1	3356866	3359460	-	2595	2516
gene-PA14_37710	CP000438.1	3359632	3361740	-	2109	7810
gene-PA14_37730	CP000438.1	3362016	3364658	+	2643	81
gene-PA14_37745	CP000438.1	3364838	3366562	+	1725	42342
gene-PA14_37760	CP000438.1	3366606	3367769	+	1164	12944
gene-PA14_37770	CP000438.1	3367771	3368439	+	669	5455
gene-PA14_37780	CP000438.1	3368436	3369074	+	639	5626
gene-PA14_37790	CP000438.1	3369223	3371043	+	1821	506
gene-PA14_37810	CP000438.1	3371040	3372095	+	1056	278
gene-PA14_37820	CP000438.1	3372115	3373338	-	1224	311
gene-PA14_37830	CP000438.1	3373541	3374722	-	1182	666
gene-PA14_37840	CP000438.1	3374868	3376478	-	1611	74
gene-PA14_37850	CP000438.1	3376480	3377496	-	1017	10
gene-PA14_37870	CP000438.1	3377498	3378571	-	1074	12
gene-PA14_37880	CP000438.1	3378573	3380381	-	1809	38
gene-PA14_37900	CP000438.1	3380385	3382925	-	2541	60
gene-PA14_37910	CP000438.1	3383604	3384506	-	903	522
gene-PA14_37915	CP000438.1	3384617	3386032	+	1416	51
gene-PA14_37940	CP000438.1	3386039	3386926	-	888	186
gene-PA14_37950	CP000438.1	3387041	3387703	+	663	95
gene-PA14_37965	CP000438.1	3387743	3388213	+	471	270
gene-PA14_37980	CP000438.1	3388251	3389204	-	954	24
gene-PA14_37990	CP000438.1	3389201	3389707	-	507	15
gene-PA14_38000	CP000438.1	3390035	3390499	+	465	563
gene-PA14_38010	CP000438.1	3390598	3392031	+	1434	1230
gene-PA14_38020	CP000438.1	3392089	3392496	-	408	250
gene-PA14_38040	CP000438.1	3392910	3393899	+	990	1039
gene-PA14_38050	CP000438.1	3394935	3395342	+	408	201
gene-PA14_38060	CP000438.1	3395401	3395661	+	261	723
gene-PA14_38080	CP000438.1	3395836	3397710	+	1875	2582
gene-PA14_38090	CP000438.1	3397868	3398770	-	903	707
gene-PA14_38110	CP000438.1	3398891	3400120	-	1230	5467
gene-PA14_38130	CP000438.1	3400608	3401978	-	1371	499
gene-PA14_38140	CP000438.1	3402135	3403511	-	1377	3476
